pop_comp	rate	power
verus-schweinfurthii	0.9	0.5425102708242522
verus-schweinfurthii	1.175	0.5687355127846809
verus-schweinfurthii	1.4500000000000002	0.6635431453558573
verus-schweinfurthii	1.725	0.7412281339469189
verus-schweinfurthii	2.0	0.8031189025938841
verus-troglodytes	0.9	0.5488042793790355
verus-troglodytes	1.175	0.5774805636631775
verus-troglodytes	1.4500000000000002	0.6808555445683222
verus-troglodytes	1.725	0.7620145012196037
verus-troglodytes	2.0	0.8240396123929385
verus-ellioti	0.9	0.5460399952130878
verus-ellioti	1.175	0.5737748956521909
verus-ellioti	1.4500000000000002	0.6736633486029674
verus-ellioti	1.725	0.7534284252825753
verus-ellioti	2.0	0.8153433079244771
